Sample	Filename	%GC	Encoding	basic_statistics	overrepresented_sequences	per_sequence_gc_content	per_tile_sequence_quality	Sequences flagged as poor quality	per_sequence_quality_scores	sequence_length_distribution	per_base_sequence_quality	avg_sequence_length	Total Sequences	adapter_content	per_base_n_content	total_deduplicated_percentage	per_base_sequence_content	median_sequence_length	File type	Sequence length	sequence_duplication_levels
SRX298285_1	SRX298285_1_val_1.fq.gz	48.0	Sanger / Illumina 1.9	pass	warn	fail	pass	0.0	pass	warn	pass	97.33556865765179	30469255.0	pass	pass	27.759060406537962	fail	100	Conventional base calls	20-100	fail
SRX298285_2	SRX298285_2_val_2.fq.gz	48.0	Sanger / Illumina 1.9	pass	warn	fail	pass	0.0	pass	warn	pass	94.70486396861361	30469255.0	pass	pass	31.01234099328572	fail	100	Conventional base calls	20-100	fail
SRX298286_1	SRX298286_1_val_1.fq.gz	48.0	Sanger / Illumina 1.9	pass	warn	fail	pass	0.0	pass	warn	pass	97.31954125778563	53554086.0	pass	pass	23.8631188977863	fail	100	Conventional base calls	20-100	fail
SRX298286_2	SRX298286_2_val_2.fq.gz	48.0	Sanger / Illumina 1.9	pass	warn	fail	pass	0.0	pass	warn	pass	94.60694987867032	53554086.0	pass	pass	27.64723704747942	fail	100	Conventional base calls	20-100	fail
SRX298287_1	SRX298287_1_val_1.fq.gz	47.0	Sanger / Illumina 1.9	pass	warn	fail	pass	0.0	pass	warn	pass	97.2729738162529	33158814.0	pass	pass	26.742239317006433	fail	100	Conventional base calls	20-100	fail
SRX298287_2	SRX298287_2_val_2.fq.gz	47.0	Sanger / Illumina 1.9	pass	warn	fail	pass	0.0	pass	warn	pass	95.07611514694102	33158814.0	pass	pass	29.69483318087246	fail	100	Conventional base calls	20-100	fail
SRX298288_1	SRX298288_1_val_1.fq.gz	47.0	Sanger / Illumina 1.9	pass	warn	fail	pass	0.0	pass	warn	pass	97.20546858101646	18377345.0	pass	pass	33.58798255613851	fail	100	Conventional base calls	20-100	fail
SRX298288_2	SRX298288_2_val_2.fq.gz	47.0	Sanger / Illumina 1.9	pass	warn	fail	pass	0.0	pass	warn	pass	95.46150523919532	18377345.0	pass	pass	35.72220636610299	fail	100	Conventional base calls	20-100	fail
SRX298289_1	SRX298289_1_val_1.fq.gz	50.0	Sanger / Illumina 1.9	pass	warn	fail	pass	0.0	pass	warn	pass	97.15322963834184	16400985.0	pass	pass	27.504456333993367	fail	100	Conventional base calls	20-100	fail
SRX298289_2	SRX298289_2_val_2.fq.gz	50.0	Sanger / Illumina 1.9	pass	warn	fail	pass	0.0	pass	warn	pass	95.5378283682352	16400985.0	pass	pass	29.36877247987334	fail	100	Conventional base calls	20-100	fail
SRX298290_1	SRX298290_1_val_1.fq.gz	49.0	Sanger / Illumina 1.9	pass	warn	fail	pass	0.0	pass	warn	pass	97.20082393043307	21508612.0	pass	pass	20.675526199984326	fail	100	Conventional base calls	20-100	fail
SRX298290_2	SRX298290_2_val_2.fq.gz	49.0	Sanger / Illumina 1.9	pass	warn	fail	pass	0.0	pass	warn	pass	95.39330738775705	21508612.0	pass	pass	22.99041594757777	fail	100	Conventional base calls	20-100	fail
SRX298291_1	SRX298291_1_val_1.fq.gz	52.0	Sanger / Illumina 1.9	pass	warn	fail	pass	0.0	pass	warn	pass	97.74361450278268	18011440.0	pass	pass	25.32199273040574	fail	100	Conventional base calls	20-100	fail
SRX298291_2	SRX298291_2_val_2.fq.gz	51.0	Sanger / Illumina 1.9	pass	warn	fail	pass	0.0	pass	warn	pass	95.58139082716318	18011440.0	pass	pass	28.086902876925805	fail	100	Conventional base calls	20-100	fail
SRX298292_1	SRX298292_1_val_1.fq.gz	48.0	Sanger / Illumina 1.9	pass	warn	fail	pass	0.0	pass	warn	pass	97.22639398126667	18918798.0	pass	pass	25.30525658784018	fail	100	Conventional base calls	20-100	fail
SRX298292_2	SRX298292_2_val_2.fq.gz	47.0	Sanger / Illumina 1.9	pass	warn	fail	pass	0.0	pass	warn	pass	95.07609352348918	18918798.0	pass	pass	27.859238501467875	fail	100	Conventional base calls	20-100	fail
SRX298293_1	SRX298293_1_val_1.fq.gz	48.0	Sanger / Illumina 1.9	pass	warn	warn	pass	0.0	pass	warn	pass	97.28662709718392	24941780.0	pass	pass	20.97769811173369	fail	100	Conventional base calls	20-100	fail
SRX298293_2	SRX298293_2_val_2.fq.gz	48.0	Sanger / Illumina 1.9	pass	warn	warn	pass	0.0	pass	warn	pass	95.09175151091863	24941780.0	pass	pass	23.721397094610815	fail	100	Conventional base calls	20-100	fail
SRX298294_1	SRX298294_1_val_1.fq.gz	50.0	Sanger / Illumina 1.9	pass	warn	fail	pass	0.0	pass	warn	pass	97.46831516543023	27101183.0	pass	pass	25.044937024488263	fail	100	Conventional base calls	20-100	fail
SRX298294_2	SRX298294_2_val_2.fq.gz	50.0	Sanger / Illumina 1.9	pass	warn	fail	pass	0.0	pass	warn	pass	95.1575433441411	27101183.0	pass	pass	27.662521265884525	fail	100	Conventional base calls	20-100	fail
SRX298295_1	SRX298295_1_val_1.fq.gz	47.0	Sanger / Illumina 1.9	pass	warn	fail	pass	0.0	pass	warn	pass	97.73689636914045	51766530.0	pass	pass	19.06547403780599	fail	100	Conventional base calls	20-100	fail
SRX298295_2	SRX298295_2_val_2.fq.gz	47.0	Sanger / Illumina 1.9	pass	warn	fail	pass	0.0	pass	warn	pass	95.61903252931963	51766530.0	pass	pass	21.758110019508532	fail	100	Conventional base calls	20-100	fail
SRX298296_1	SRX298296_1_val_1.fq.gz	46.0	Sanger / Illumina 1.9	pass	warn	fail	pass	0.0	pass	warn	pass	97.35898696963054	18041315.0	pass	pass	30.781341293768012	fail	100	Conventional base calls	20-100	fail
SRX298296_2	SRX298296_2_val_2.fq.gz	46.0	Sanger / Illumina 1.9	pass	warn	fail	pass	0.0	pass	warn	pass	95.84354931999137	18041315.0	pass	pass	32.97341376582184	fail	100	Conventional base calls	20-100	fail
SRX298297_1	SRX298297_1_val_1.fq.gz	46.0	Sanger / Illumina 1.9	pass	warn	fail	pass	0.0	pass	warn	pass	97.41350089074726	28543450.0	pass	pass	27.987221560469838	fail	100	Conventional base calls	20-100	fail
SRX298297_2	SRX298297_2_val_2.fq.gz	46.0	Sanger / Illumina 1.9	pass	warn	fail	pass	0.0	pass	warn	pass	95.86818587101419	28543450.0	pass	pass	30.34709024114326	fail	100	Conventional base calls	20-100	fail
SRX298298_1	SRX298298_1_val_1.fq.gz	49.0	Sanger / Illumina 1.9	pass	warn	fail	pass	0.0	pass	warn	pass	97.27558055296403	15117656.0	pass	pass	29.158293963947017	fail	100	Conventional base calls	20-100	fail
SRX298298_2	SRX298298_2_val_2.fq.gz	49.0	Sanger / Illumina 1.9	pass	warn	fail	pass	0.0	pass	warn	pass	95.3341875221926	15117656.0	pass	pass	31.62265628340515	fail	100	Conventional base calls	20-100	fail
SRX298299_1	SRX298299_1_val_1.fq.gz	48.0	Sanger / Illumina 1.9	pass	warn	fail	pass	0.0	pass	warn	pass	97.67597853196136	16982455.0	pass	pass	26.78616687632906	fail	100	Conventional base calls	20-100	fail
SRX298299_2	SRX298299_2_val_2.fq.gz	48.0	Sanger / Illumina 1.9	pass	warn	fail	pass	0.0	pass	warn	pass	95.66259212816992	16982455.0	pass	pass	29.244616435487963	fail	100	Conventional base calls	20-100	fail
SRX298300_1	SRX298300_1_val_1.fq.gz	48.0	Sanger / Illumina 1.9	pass	warn	fail	pass	0.0	pass	warn	pass	97.3001628320466	31600045.0	pass	pass	23.974108073609308	fail	100	Conventional base calls	20-100	fail
SRX298300_2	SRX298300_2_val_2.fq.gz	48.0	Sanger / Illumina 1.9	pass	warn	fail	fail	0.0	pass	warn	pass	94.98227227208062	31600045.0	pass	pass	26.876070883549826	fail	100	Conventional base calls	20-100	fail
SRX298301_1	SRX298301_1_val_1.fq.gz	47.0	Sanger / Illumina 1.9	pass	warn	fail	pass	0.0	pass	warn	pass	96.65286820732031	13219930.0	pass	pass	15.610924037950745	fail	100	Conventional base calls	20-100	fail
SRX298301_2	SRX298301_2_val_2.fq.gz	47.0	Sanger / Illumina 1.9	pass	warn	fail	fail	0.0	pass	warn	pass	94.55049610701418	13219930.0	pass	pass	19.012756265449582	fail	100	Conventional base calls	20-100	fail
SRX298302_1	SRX298302_1_val_1.fq.gz	49.0	Sanger / Illumina 1.9	pass	warn	fail	pass	0.0	pass	warn	pass	97.38998281694808	45541386.0	pass	pass	21.59013277803409	fail	100	Conventional base calls	20-100	fail
SRX298302_2	SRX298302_2_val_2.fq.gz	49.0	Sanger / Illumina 1.9	pass	warn	fail	fail	0.0	pass	warn	pass	95.0870847013747	45541386.0	pass	pass	24.648980334893984	fail	100	Conventional base calls	20-100	fail
SRX298303_1	SRX298303_1_val_1.fq.gz	49.0	Sanger / Illumina 1.9	pass	warn	fail	pass	0.0	pass	warn	pass	97.44393806201799	44120585.0	pass	pass	22.68288099593974	fail	100	Conventional base calls	20-100	fail
SRX298303_2	SRX298303_2_val_2.fq.gz	49.0	Sanger / Illumina 1.9	pass	warn	fail	fail	0.0	pass	warn	pass	95.05158583006096	44120585.0	pass	pass	25.640226430365626	fail	100	Conventional base calls	20-100	fail
SRX298304_1	SRX298304_1_val_1.fq.gz	47.0	Sanger / Illumina 1.9	pass	warn	fail	pass	0.0	pass	warn	pass	97.02917432795958	27832552.0	pass	pass	22.39998585084174	fail	100	Conventional base calls	20-100	fail
SRX298304_2	SRX298304_2_val_2.fq.gz	46.0	Sanger / Illumina 1.9	pass	warn	fail	pass	0.0	pass	warn	pass	94.98435853097482	27832552.0	pass	pass	24.801539491480426	fail	100	Conventional base calls	20-100	fail
SRX298305_1	SRX298305_1_val_1.fq.gz	49.0	Sanger / Illumina 1.9	pass	warn	fail	pass	0.0	pass	warn	pass	97.07645302644814	33412451.0	pass	pass	24.214617673529386	fail	100	Conventional base calls	20-100	fail
SRX298305_2	SRX298305_2_val_2.fq.gz	49.0	Sanger / Illumina 1.9	pass	warn	fail	pass	0.0	pass	warn	pass	94.82698626329449	33412451.0	pass	pass	26.717010236242388	fail	100	Conventional base calls	20-100	fail
SRX298306_1	SRX298306_1_val_1.fq.gz	48.0	Sanger / Illumina 1.9	pass	warn	fail	pass	0.0	pass	warn	pass	97.17317280391057	45270538.0	pass	pass	23.496165056640884	fail	100	Conventional base calls	20-100	fail
SRX298306_2	SRX298306_2_val_2.fq.gz	48.0	Sanger / Illumina 1.9	pass	warn	fail	pass	0.0	pass	warn	pass	94.53411638271231	45270538.0	pass	pass	26.45171244101346	fail	100	Conventional base calls	20-100	fail
SRX298307_1	SRX298307_1_val_1.fq.gz	46.0	Sanger / Illumina 1.9	pass	warn	fail	pass	0.0	pass	warn	pass	97.2510380442242	33769515.0	pass	pass	22.97312921550649	fail	100	Conventional base calls	20-100	fail
SRX298307_2	SRX298307_2_val_2.fq.gz	46.0	Sanger / Illumina 1.9	pass	warn	fail	pass	0.0	pass	warn	pass	95.0481172738193	33769515.0	pass	pass	25.82301029769193	fail	100	Conventional base calls	20-100	fail
SRX298308_1	SRX298308_1_val_1.fq.gz	48.0	Sanger / Illumina 1.9	pass	warn	fail	pass	0.0	pass	warn	pass	97.20423431300226	26203070.0	pass	pass	22.855884868833737	fail	100	Conventional base calls	20-100	fail
SRX298308_2	SRX298308_2_val_2.fq.gz	47.0	Sanger / Illumina 1.9	pass	warn	fail	pass	0.0	pass	warn	pass	95.17255558222757	26203070.0	pass	pass	25.89306180824698	fail	100	Conventional base calls	20-100	fail
SRX298309_1	SRX298309_1_val_1.fq.gz	48.0	Sanger / Illumina 1.9	pass	warn	fail	pass	0.0	pass	warn	pass	97.38312926102837	27450973.0	pass	pass	23.321256024005173	fail	100	Conventional base calls	20-100	fail
SRX298309_2	SRX298309_2_val_2.fq.gz	48.0	Sanger / Illumina 1.9	pass	warn	fail	pass	0.0	pass	warn	pass	95.03229120512412	27450973.0	pass	pass	26.681666403269706	fail	100	Conventional base calls	20-100	fail
