[2024-10-04 22:01:56,067] multiqc                                            [DEBUG  ]  This is MultiQC v1.17
[2024-10-04 22:02:18,980] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Selecting './fastqc/raw/SRX298298_2_fastqc.zip' as it matched the path_filters for 'FastQC (raw)'
[2024-10-04 22:02:19,029] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Selecting './fastqc/raw/SRX298300_1_fastqc.zip' as it matched the path_filters for 'FastQC (raw)'
[2024-10-04 22:02:19,062] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Selecting './fastqc/raw/SRX298284_1_fastqc.zip' as it matched the path_filters for 'FastQC (raw)'
[2024-10-04 22:02:19,103] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Selecting './fastqc/raw/SRX298305_2_fastqc.zip' as it matched the path_filters for 'FastQC (raw)'
[2024-10-04 22:02:19,152] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Selecting './fastqc/raw/SRX298280_2_fastqc.zip' as it matched the path_filters for 'FastQC (raw)'
[2024-10-04 22:02:19,241] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Selecting './fastqc/raw/SRX298289_1_fastqc.zip' as it matched the path_filters for 'FastQC (raw)'
[2024-10-04 22:02:19,283] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Selecting './fastqc/raw/SRX298289_2_fastqc.zip' as it matched the path_filters for 'FastQC (raw)'
[2024-10-04 22:02:19,317] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Selecting './fastqc/raw/SRX298291_1_fastqc.zip' as it matched the path_filters for 'FastQC (raw)'
[2024-10-04 22:02:19,368] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Selecting './fastqc/raw/SRX298285_1_fastqc.zip' as it matched the path_filters for 'FastQC (raw)'
[2024-10-04 22:02:19,421] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Selecting './fastqc/raw/SRX298299_1_fastqc.zip' as it matched the path_filters for 'FastQC (raw)'
[2024-10-04 22:02:19,465] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Selecting './fastqc/raw/SRX298296_2_fastqc.zip' as it matched the path_filters for 'FastQC (raw)'
[2024-10-04 22:02:19,501] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Selecting './fastqc/raw/SRX298301_1_fastqc.zip' as it matched the path_filters for 'FastQC (raw)'
[2024-10-04 22:02:19,532] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Selecting './fastqc/raw/SRX298291_2_fastqc.zip' as it matched the path_filters for 'FastQC (raw)'
[2024-10-04 22:02:19,578] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Selecting './fastqc/raw/SRX298287_1_fastqc.zip' as it matched the path_filters for 'FastQC (raw)'
[2024-10-04 22:02:19,615] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Selecting './fastqc/raw/SRX298299_2_fastqc.zip' as it matched the path_filters for 'FastQC (raw)'
[2024-10-04 22:02:19,648] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Selecting './fastqc/raw/SRX298280_1_fastqc.zip' as it matched the path_filters for 'FastQC (raw)'
[2024-10-04 22:02:19,708] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Selecting './fastqc/raw/SRX298283_2_fastqc.zip' as it matched the path_filters for 'FastQC (raw)'
[2024-10-04 22:02:19,814] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Selecting './fastqc/raw/SRX298306_1_fastqc.zip' as it matched the path_filters for 'FastQC (raw)'
[2024-10-04 22:02:19,874] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Selecting './fastqc/raw/SRX298286_2_fastqc.zip' as it matched the path_filters for 'FastQC (raw)'
[2024-10-04 22:02:19,937] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Selecting './fastqc/raw/SRX298286_1_fastqc.zip' as it matched the path_filters for 'FastQC (raw)'
[2024-10-04 22:02:19,972] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Selecting './fastqc/raw/SRX298298_1_fastqc.zip' as it matched the path_filters for 'FastQC (raw)'
[2024-10-04 22:02:20,006] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Selecting './fastqc/raw/SRX298290_2_fastqc.zip' as it matched the path_filters for 'FastQC (raw)'
[2024-10-04 22:02:20,045] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Selecting './fastqc/raw/SRX298306_2_fastqc.zip' as it matched the path_filters for 'FastQC (raw)'
[2024-10-04 22:02:20,106] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Skipping './fastqc/trim/SRX298281_2_val_2_fastqc.zip' as it didn't match the path_filters for 'FastQC (raw)'
[2024-10-04 22:02:20,106] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Skipping './fastqc/trim/SRX298280_1_val_1_fastqc.zip' as it didn't match the path_filters for 'FastQC (raw)'
[2024-10-04 22:02:20,106] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Skipping './fastqc/trim/SRX298301_1_val_1_fastqc.zip' as it didn't match the path_filters for 'FastQC (raw)'
[2024-10-04 22:02:20,106] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Skipping './fastqc/trim/SRX298298_2_val_2_fastqc.zip' as it didn't match the path_filters for 'FastQC (raw)'
[2024-10-04 22:02:20,106] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Skipping './fastqc/trim/SRX298300_2_val_2_fastqc.zip' as it didn't match the path_filters for 'FastQC (raw)'
[2024-10-04 22:02:20,106] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Skipping './fastqc/trim/SRX298289_2_val_2_fastqc.zip' as it didn't match the path_filters for 'FastQC (raw)'
[2024-10-04 22:02:20,106] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Skipping './fastqc/trim/SRX298301_2_val_2_fastqc.zip' as it didn't match the path_filters for 'FastQC (raw)'
[2024-10-04 22:02:20,106] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Skipping './fastqc/trim/SRX298303_1_val_1_fastqc.zip' as it didn't match the path_filters for 'FastQC (raw)'
[2024-10-04 22:02:20,106] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Skipping './fastqc/trim/SRX298297_2_val_2_fastqc.zip' as it didn't match the path_filters for 'FastQC (raw)'
[2024-10-04 22:02:20,106] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Skipping './fastqc/trim/SRX298303_2_val_2_fastqc.zip' as it didn't match the path_filters for 'FastQC (raw)'
[2024-10-04 22:02:20,106] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Skipping './fastqc/trim/SRX298306_2_val_2_fastqc.zip' as it didn't match the path_filters for 'FastQC (raw)'
[2024-10-04 22:02:20,106] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Skipping './fastqc/trim/SRX298304_1_val_1_fastqc.zip' as it didn't match the path_filters for 'FastQC (raw)'
[2024-10-04 22:02:20,106] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Skipping './fastqc/trim/SRX298296_2_val_2_fastqc.zip' as it didn't match the path_filters for 'FastQC (raw)'
[2024-10-04 22:02:20,106] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Skipping './fastqc/trim/SRX298296_1_val_1_fastqc.zip' as it didn't match the path_filters for 'FastQC (raw)'
[2024-10-04 22:02:20,106] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Skipping './fastqc/trim/SRX298294_1_val_1_fastqc.zip' as it didn't match the path_filters for 'FastQC (raw)'
[2024-10-04 22:02:20,107] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Skipping './fastqc/trim/SRX298308_1_val_1_fastqc.zip' as it didn't match the path_filters for 'FastQC (raw)'
[2024-10-04 22:02:20,107] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Skipping './fastqc/trim/SRX298289_1_val_1_fastqc.zip' as it didn't match the path_filters for 'FastQC (raw)'
[2024-10-04 22:02:20,107] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Skipping './fastqc/trim/SRX298285_2_val_2_fastqc.zip' as it didn't match the path_filters for 'FastQC (raw)'
[2024-10-04 22:02:20,107] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Skipping './fastqc/trim/SRX298294_2_val_2_fastqc.zip' as it didn't match the path_filters for 'FastQC (raw)'
[2024-10-04 22:02:20,107] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Skipping './fastqc/trim/SRX298305_1_val_1_fastqc.zip' as it didn't match the path_filters for 'FastQC (raw)'
[2024-10-04 22:02:20,107] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Skipping './fastqc/trim/SRX298292_1_val_1_fastqc.zip' as it didn't match the path_filters for 'FastQC (raw)'
[2024-10-04 22:02:20,107] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Skipping './fastqc/trim/SRX298286_2_val_2_fastqc.zip' as it didn't match the path_filters for 'FastQC (raw)'
[2024-10-04 22:02:20,107] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Skipping './fastqc/trim/SRX298284_1_val_1_fastqc.zip' as it didn't match the path_filters for 'FastQC (raw)'
[2024-10-04 22:02:20,107] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Skipping './fastqc/trim/SRX298290_2_val_2_fastqc.zip' as it didn't match the path_filters for 'FastQC (raw)'
[2024-10-04 22:02:20,107] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Skipping './fastqc/trim/SRX298309_2_val_2_fastqc.zip' as it didn't match the path_filters for 'FastQC (raw)'
[2024-10-04 22:02:20,107] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Skipping './fastqc/trim/SRX298282_1_val_1_fastqc.zip' as it didn't match the path_filters for 'FastQC (raw)'
[2024-10-04 22:02:20,107] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Skipping './fastqc/trim/SRX298290_1_val_1_fastqc.zip' as it didn't match the path_filters for 'FastQC (raw)'
[2024-10-04 22:02:20,107] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Skipping './fastqc/trim/SRX298295_1_val_1_fastqc.zip' as it didn't match the path_filters for 'FastQC (raw)'
[2024-10-04 22:02:20,107] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Skipping './fastqc/trim/SRX298293_2_val_2_fastqc.zip' as it didn't match the path_filters for 'FastQC (raw)'
[2024-10-04 22:02:20,107] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Skipping './fastqc/trim/SRX298284_2_val_2_fastqc.zip' as it didn't match the path_filters for 'FastQC (raw)'
[2024-10-04 22:02:20,107] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Skipping './fastqc/trim/SRX298288_2_val_2_fastqc.zip' as it didn't match the path_filters for 'FastQC (raw)'
[2024-10-04 22:02:20,107] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Skipping './fastqc/trim/SRX298295_2_val_2_fastqc.zip' as it didn't match the path_filters for 'FastQC (raw)'
[2024-10-04 22:02:20,107] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Skipping './fastqc/trim/SRX298287_2_val_2_fastqc.zip' as it didn't match the path_filters for 'FastQC (raw)'
[2024-10-04 22:02:20,107] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Skipping './fastqc/trim/SRX298297_1_val_1_fastqc.zip' as it didn't match the path_filters for 'FastQC (raw)'
[2024-10-04 22:02:20,107] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Skipping './fastqc/trim/SRX298292_2_val_2_fastqc.zip' as it didn't match the path_filters for 'FastQC (raw)'
[2024-10-04 22:02:20,107] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Skipping './fastqc/trim/SRX298307_2_val_2_fastqc.zip' as it didn't match the path_filters for 'FastQC (raw)'
[2024-10-04 22:02:20,107] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Skipping './fastqc/trim/SRX298293_1_val_1_fastqc.zip' as it didn't match the path_filters for 'FastQC (raw)'
