Sample	with itself and mate mapped_failed	with mate mapped to a different chr (mapQ >= 5)_passed	secondary_failed	mapped_failed_pct	duplicates_failed	supplementary_failed	duplicates_passed	singletons_passed	properly paired_failed_pct	singletons_failed_pct	read1_passed	singletons_passed_pct	read2_passed	supplementary_passed	read2_failed	properly paired_passed_pct	read1_failed	properly paired_passed	total_failed	properly paired_failed	flagstat_total	mapped_passed_pct	with mate mapped to a different chr (mapQ >= 5)_failed	singletons_failed	with itself and mate mapped_passed	total_passed	paired in sequencing_passed	secondary_passed	mapped_passed	mapped_failed	paired in sequencing_failed	with mate mapped to a different chr_failed	with mate mapped to a different chr_passed
SRX298293	0	0	0	nan	0	0	14185487	54873	nan	nan	14823576	0.19	14789283	0	0	99.81	0	29557986	0	0	34792785	100.0	0	0	29557986	34792785	29612859	5179926	34792785	0	0	0	0
SRX298294	0	0	0	nan	0	0	22242605	63515	nan	nan	23568651	0.13	23525988	0	0	99.87	0	47031124	0	0	55379052	100.0	0	0	47031124	55379052	47094639	8284413	55379052	0	0	0	0
SRX298295	0	0	0	nan	0	0	57052922	89605	nan	nan	43514483	0.1	43447772	0	0	99.9	0	86872650	0	0	97819728	100.0	0	0	86872650	97819728	86962255	10857473	97819728	0	0	0	0
SRX298296	0	0	0	nan	0	0	10225765	52357	nan	nan	13704680	0.19	13677367	0	0	99.81	0	27329690	0	0	31883017	100.0	0	0	27329690	31883017	27382047	4500970	31883017	0	0	0	0
SRX298297	0	0	0	nan	0	0	15132721	74782	nan	nan	22924080	0.16	22883890	0	0	99.84	0	45733188	0	0	51967019	100.0	0	0	45733188	51967019	45807970	6159049	51967019	0	0	0	0
SRX298298	0	0	0	nan	0	0	10757981	39684	nan	nan	12889396	0.15	12866618	0	0	99.85	0	25716330	0	0	29864489	100.0	0	0	25716330	29864489	25756014	4108475	29864489	0	0	0	0
SRX298299	0	0	0	nan	0	0	8340998	32610	nan	nan	12427814	0.13	12407068	0	0	99.87	0	24802272	0	0	30247138	100.0	0	0	24802272	30247138	24834882	5412256	30247138	0	0	0	0
SRX298300	0	0	0	nan	0	0	24919978	82968	nan	nan	26343606	0.16	26290342	0	0	99.84	0	52550980	0	0	63705757	100.0	0	0	52550980	63705757	52633948	11071809	63705757	0	0	0	0
SRX298301	0	0	0	nan	0	0	18558402	74333	nan	nan	10926854	0.34	10889803	0	0	99.66	0	21742324	0	0	25311387	100.0	0	0	21742324	25311387	21816657	3494730	25311387	0	0	0	0
SRX298302	0	0	0	nan	0	0	43808757	132592	nan	nan	40140896	0.17	40057638	0	0	99.83	0	80065942	0	0	91639220	100.0	0	0	80065942	91639220	80198534	11440686	91639220	0	0	0	0
SRX298303	0	0	0	nan	0	0	35656593	111286	nan	nan	38439716	0.14	38365722	0	0	99.86	0	76694152	0	0	90307054	100.0	0	0	76694152	90307054	76805438	13501616	90307054	0	0	0	0
SRX298304	0	0	0	nan	0	0	24591839	77425	nan	nan	22138791	0.18	22092808	0	0	99.82	0	44154174	0	0	51270159	100.0	0	0	44154174	51270159	44231599	7038560	51270159	0	0	0	0
SRX298305	0	0	0	nan	0	0	29488298	105015	nan	nan	28663134	0.18	28601423	0	0	99.82	0	57159542	0	0	65756342	100.0	0	0	57159542	65756342	57264557	8491785	65756342	0	0	0	0
SRX298306	0	0	0	nan	0	0	33256154	129634	nan	nan	37731388	0.17	37645816	0	0	99.83	0	75247570	0	0	87891239	100.0	0	0	75247570	87891239	75377204	12514035	87891239	0	0	0	0
SRX298307	0	0	0	nan	0	0	28073954	94011	nan	nan	27673408	0.17	27613713	0	0	99.83	0	55193110	0	0	63863878	100.0	0	0	55193110	63863878	55287121	8576757	63863878	0	0	0	0
SRX298308	0	0	0	nan	0	0	22179021	118902	nan	nan	21541532	0.28	21468836	0	0	99.72	0	42891466	0	0	48144838	100.0	0	0	42891466	48144838	43010368	5134470	48144838	0	0	0	0
SRX298309	0	0	0	nan	0	0	26298888	113266	nan	nan	23134624	0.25	23060450	0	0	99.75	0	46081808	0	0	49704986	100.0	0	0	46081808	49704986	46195074	3509912	49704986	0	0	0	0
